id,"en","fr"
BUTTON_ORIGINAL,"Original rules","Règles originales"
BUTTON_CLASSIC,"Classic rules","Règles classiques"
BUTTON_QUIT,"Quit","Quitter"
BUTTON_OPTIONS,"Options","Options"
BUTTON_LANGUAGE,"Language","Langue"
BUTTON_CREATE_GAME,"Create lobby","Créer une partie"
BUTTON_JOIN_GAME,"Join a lobby","Rejoindre une partie"
BUTTON_JOIN,"Join","Rejoindre"
BUTTON_SPLIT_SCREEN_TYPE,"Split screen","Écran partagé"
BUTTON_LAN_TYPE,"Local game","Réseau local"
BUTTON_ONLINE_TYPE,"Online game","Partie en ligne"
BUTTON_CLOSE,"Close","Fermer"
BUTTON_PAY,"Pay","Payer"
BUTTON_PLAY_CARD,"Play card","Jouer la carte"
LABEL_IP_ADDRESS,"IP Address","Adresse IP"
LABEL_NEW_RENT,"New rent: $%s","Nouveau loyer: $%s"
LABEL_BUY_BACK_VALUE,"Can be redeemed for $%s","Pourra être racheté pour $%s"
LABEL_BUY_FOR,"Buy for $%s","Acheter pour $%s"
LABEL_PAY,"Pay $%s","Payer $%s"
LABEL_AIRPORT_PAY,"Buy a ticket for $%s","Acheter un billet pour $%s"
LABEL_LAND_ONLY,"Land only","Terrain seul"
LABEL_1_HOUSE,"One house","Une maison"
LABEL_2_HOUSE,"Two houses","Deux maisons"
LABEL_3_HOUSE,"Three houses","Trois maisons"
LABEL_4_HOUSE,"Four houses","Quatre maisons"
LABEL_1_HOSTEL,"One hostel","Un hôtel"
LABEL_X_HOUSES,"%s houses","%s maisons"
LABEL_AIRPORT_DESCRIPTION,"You have the option of flying to the vacant
location of your choice.

The airfare is [b]$%s[/b]","Vous pouvez choisir de prendre l'avion pour vous rendre
sur la case libre de votre choix.

Le prix du billet est de [b]$%s[/b]"
LABEL_JAIL,"Jail","Prison"
LABEL_GO_TO_JAIL,"Go straight to jail, don't go through the starting gate, don't get [b]$%s[/b].
You will stay in jail for a maximum of [b]%s[/b] rounds.","Allez directement en prison, ne passez pas par la case départ, ne recevez pas [b]$%s[/b].
Vous resterez au plus [b]%s[/b] tours en prison."
LABEL_JAIL_REMAINING_TURN,"Remaining turn in jail: [b]%s[/b]","Nombre de tour en prison restant: [b]%s[/b]"
LABEL_JAIL_ANNOUNCE,"You're in jail.
To release from jail you take a roll of the dice to make a double.
Or you can pay [b]$%s[/b] immediately to get out on the next turn.

What do you want to do?","Vous êtes en prison.
Pour sortir vous pouvez essayer de lancer les dés pour faire un double.
Ou vous pouvez payer [b]$%s[/b] immédiatement pour sortir au prochain tour.

Que voulez-vous faire?"
LABEL_JAIL_LAST_TURN,"You're in jail.
You must pay [b]$%s[/b] immediately to get out on the next turn.","Vous êtes en prison.
Vous devez immédiatement payer [b]$%s[/b] pour pouvoir sortir au prochain tour."
LABEL_WONDER_COMBO,"If you own [b]%s[/b], then double the rent for [b]%s[/b]","Si vous possédez également [b]%s[/b], alors le loyer de [b]%s[/b] sera doublé"
LABEL_CASE_AIRPORT,"Airport","Aéroport"
LABEL_CASE_ALGER,"Alger","Alger"
LABEL_CASE_BEGIN,"Begin","Départ"
LABEL_CASE_BERLIN,"Berlin","Berlin"
LABEL_CASE_BOMBAY,"Bombay","Bombay"
LABEL_CASE_BUENOSAIRES,"Buenos Aires","Buenos Aires"
LABEL_CASE_CASABLANCA,"Casablanca","Casablanca"
LABEL_CASE_DAKAR,"Dakar","Dakar"
LABEL_CASE_FESTIVAL,"Festival","Festival"
LABEL_CASE_HONGKONG,"Hong-Kong","Hong-Kong"
LABEL_CASE_JAKARTA,"Jakarta","Jakarta"
